Category,Product,Product Name,Order Date,Price,User Age,Country,User Gender,User ID,Sales Channel,Rating,Purchase Frequency,Average Rating,Number of Ratings,Discount,Quantity
Fashion,Jeans,Jeans Standard,2023-12-17,144.76,32,Canada,Male,7912,Online,3,16,2.5,2,0.37,9
Travel,Travel Pillow,Travel Pillow Pro,2023-10-23,23,32,Canada,Male,7912,Online,5,17,3,2,0.32,9
Health & Wellness,Aromatherapy Diffuser,Aromatherapy Diffuser Standard,2023-11-30,217.08,32,Canada,Male,7912,In-Store,5,13,2.5,2,0.11,6
Health & Wellness,Protein Powder,Protein Powder Pro,2023-06-14,405.49,32,Canada,Male,7912,Third-Party Reseller,5,8,4,2,0.27,7
Travel,Travel Backpack,Travel Backpack Standard,2023-03-21,334.02,32,Canada,Male,7912,Third-Party Reseller,4,14,3,2,0.49,4
Health & Wellness,Protein Powder,Protein Powder Standard,2023-07-25,184.08,32,Canada,Male,7912,Online,5,15,3.666666667,3,0.35,2
Gadgets,Portable Speaker,Portable Speaker Deluxe,2024-02-26,323.6,32,Canada,Male,7912,In-Store,5,1,3,1,0.34,1
Educational,Online Course,Online Course Pro,2024-02-07,361.78,32,Canada,Male,7912,Third-Party Reseller,3,15,2.666666667,3,0.25,8
Home & Kitchen,Decorative Vase,Decorative Vase Deluxe,2023-12-19,296.45,55,Germany,Non-Binary,9085,Online,3,11,2.5,2,0.18,3
Travel,Travel Backpack,Travel Backpack Standard,2024-01-05,343.44,55,Germany,Non-Binary,9085,Third-Party Reseller,3,14,3,2,0.19,10
Fashion,Jeans,Jeans Pro,2024-02-10,273.12,55,Germany,Non-Binary,9085,Third-Party Reseller,5,15,3,2,0.17,5
Fashion,Handbag,Handbag Pro,2023-12-25,97.54,55,Germany,Non-Binary,9085,Online,3,18,2,2,0.15,9
Home & Kitchen,Decorative Vase,Decorative Vase Standard,2023-10-22,168.84,55,Germany,Non-Binary,9085,Online,3,5,2,1,0.46,5
Fashion,Jacket,Jacket Standard,2023-12-24,271.03,55,Germany,Non-Binary,9085,Online,5,9,5,1,0.33,9
